"DateTime","Temperature","Humidity","Dew Point"
"2023-06-04 10:27:36",39.7,37.2,15.6
"2023-06-04 11:27:36",39.7,37.1,15.6
"2023-06-04 12:27:36",40.6,36.5,16.2
"2023-06-04 13:27:36",40.6,36.8,16.3
"2023-06-04 14:27:36",40.3,36.8,16
"2023-06-04 15:27:36",38.8,38.6,15.8
"2023-06-04 16:27:36",36.1,38.6,13.3
"2023-06-04 17:27:36",35.8,38.6,12.9
"2023-06-04 18:27:36",36.7,37.1,12.9
"2023-06-04 19:27:36",38.7,34.9,13.3
"2023-06-04 20:27:36",43,28.8,12.7
"2023-06-04 21:27:36",43.9,27.2,12.2
"2023-06-04 22:27:36",45.9,27.1,13.8
"2023-06-04 23:27:36",46.9,27.2,14.9
"2023-06-05 00:27:36",47.1,25.8,13.8
"2023-06-05 01:27:36",48,24.8,13.6
"2023-06-05 02:27:36",50,23.7,14.4
"2023-06-05 03:27:36",48,26.6,15.3
"2023-06-05 04:27:36",45.1,28.6,14.4
"2023-06-05 05:27:36",41.9,32.5,14.5
"2023-06-05 06:27:36",41.4,36.3,16.5
"2023-06-05 07:27:36",35.1,62.7,23.5
"2023-06-05 08:27:36",32,87.3,28.6
"2023-06-05 09:27:36",30.2,97.5,29.7
"2023-06-05 10:27:36",30,97.9,29.5
"2023-06-05 11:27:36",29.5,91.7,27.3
"2023-06-05 12:27:36",21.9,89.7,19.4
"2023-06-05 13:27:36",20.1,79.3,14.7
"2023-06-05 14:27:36",19.8,70.4,11.7
"2023-06-05 15:27:36",18,66.3,8.6
"2023-06-05 16:27:36",19,54.8,5.4
"2023-06-05 17:27:36",18.9,58.1,6.4
"2023-06-05 18:27:36",18.9,54.5,5.2
"2023-06-05 19:27:36",21.9,44.9,3.7
"2023-06-05 20:27:36",23.9,45.2,5.7
"2023-06-05 21:27:36",27.7,46.3,9.7
"2023-06-05 22:27:36",25.3,62.6,14.4
"2023-06-05 23:27:36",32.9,48.3,15.4
"2023-06-06 00:27:36",30,51,14
"2023-06-06 01:27:36",26.1,75.8,19.4
"2023-06-06 02:27:36",28.8,83.7,24.4
"2023-06-06 03:27:36",30,61.7,18.5
"2023-06-06 04:27:36",25.3,84.2,21.2
"2023-06-06 05:27:36",22.3,92,20.3
"2023-06-06 06:27:36",17.6,94.6,16.3
"2023-06-06 07:27:36",17.8,93.9,16.3
"2023-06-06 08:27:36",17.2,93,15.6
"2023-06-06 09:27:36",17.1,89,14.4
"2023-06-06 10:27:36",17.1,80,12
"2023-06-06 11:27:36",16.2,80.6,11.3
"2023-06-06 12:27:36",16.5,75.1,10
"2023-06-06 13:27:36",16,72.4,8.6
"2023-06-06 14:27:36",15.8,70.6,7.9
"2023-06-06 15:27:36",16.2,69.7,7.9
"2023-06-06 16:27:36",16.5,66.7,7.3
"2023-06-06 17:27:36",16.7,70,8.6
"2023-06-06 18:27:36",17.2,67.4,8.2
"2023-06-06 19:27:36",21,60.3,9.3
"2023-06-06 20:27:36",23.5,59.2,11.3
"2023-06-06 21:27:36",27.1,52.9,12.2
"2023-06-06 22:27:36",26.6,60.4,14.7
"2023-06-06 23:27:36",27.7,64.6,17.2
"2023-06-07 00:27:36",25.9,69.8,17.4
"2023-06-07 01:27:36",28.8,62.4,17.6
"2023-06-07 02:27:36",30.9,61.5,19.2
"2023-06-07 03:27:36",27.5,79.9,22.1
"2023-06-07 04:27:36",25,87.8,21.9
"2023-06-07 05:27:36",24.3,92.4,22.5
"2023-06-07 06:27:36",23.4,85.3,19.6
"2023-06-07 07:27:36",22.1,84.6,18.1
"2023-06-07 08:27:36",22.6,70.1,14.4
"2023-06-07 09:27:36",23.5,67.1,14.2
"2023-06-07 10:27:36",22.1,68.9,13.5
"2023-06-07 11:27:36",23,64.5,12.7
"2023-06-07 12:27:36",24.3,61.6,12.9
"2023-06-07 13:27:36",25,54.3,10.8
"2023-06-07 14:27:36",25.3,56.6,12
"2023-06-07 15:27:36",25.7,57,12.6
"2023-06-07 16:27:36",27.1,53.5,12.4
"2023-06-07 17:27:36",26.4,54.7,12.2
"2023-06-07 18:27:36",13.8,81.2,9.1
"2023-06-07 19:27:36",16.2,78.7,10.8
"2023-06-07 20:27:36",24.1,70.9,16
"2023-06-07 21:27:36",24.8,70.1,16.3
"2023-06-07 22:27:36",30.9,64.7,20.5
"2023-06-07 23:27:36",36.3,44.2,16.5
"2023-06-08 00:27:36",37.8,42.2,16.9
"2023-06-08 01:27:36",39.4,46,20.3
"2023-06-08 02:27:36",34.9,62.9,23.5
"2023-06-08 03:27:36",34.5,74,27.1
"2023-06-08 04:27:36",31.5,83.5,27
"2023-06-08 05:27:36",27,88.2,23.9
"2023-06-08 06:27:36",23.9,95.6,22.8
"2023-06-08 07:27:36",23.2,95.9,22.1
"2023-06-08 08:27:36",29.7,70.4,21.2
"2023-06-08 09:27:36",28.9,66.2,19
"2023-06-08 10:27:36",30,61,18.1
"2023-06-08 11:27:36",30.4,57.5,17.2
"2023-06-08 12:27:36",30.9,53.9,16.2
"2023-06-08 13:27:36",30.9,52,15.3
"2023-06-08 14:27:36",31.3,51.2,15.3
"2023-06-08 15:27:36",31.5,53.2,16.3
"2023-06-08 16:27:36",31.6,51.7,15.8
"2023-06-08 17:27:36",31.6,53.9,16.9
"2023-06-08 18:27:36",32.2,50.6,15.8
"2023-06-08 19:27:36",33.3,49.9,16.5
"2023-06-08 20:27:36",36,48.3,18.3
"2023-06-08 21:27:36",37.6,46.1,18.7
"2023-06-08 22:27:36",38.7,44.3,18.9
"2023-06-08 23:27:36",39.9,46.1,20.8
"2023-06-09 00:27:36",40.8,46.5,21.9
"2023-06-09 01:27:36",40.5,46.9,21.7
"2023-06-09 02:27:36",44.6,47,25.7
"2023-06-09 03:27:36",32.9,84.4,28.8
"2023-06-09 04:27:36",36.7,65,26.1
"2023-06-09 05:27:36",35.6,56,21.4
"2023-06-09 06:27:36",32.2,59.1,19.6
"2023-06-09 07:27:36",31.8,60.2,19.6
"2023-06-09 08:27:36",29.3,65,19
"2023-06-09 09:27:36",31.8,59.2,19.2
"2023-06-09 10:27:36",29.7,64.4,19
"2023-06-09 11:27:36",29.8,71.1,21.6
"2023-06-09 12:27:36",26.8,89.5,24.1
"2023-06-09 13:27:36",24.3,91.5,22.1
"2023-06-09 14:27:36",25.3,92.1,23.4
"2023-06-09 15:27:36",23.4,94,21.9
"2023-06-09 16:27:36",22.6,92.7,20.8
"2023-06-09 17:27:36",22.3,94.4,20.8
"2023-06-09 18:27:36",19.4,95.6,18.3
"2023-06-09 19:27:36",22.6,92.2,20.7
"2023-06-09 20:27:36",27.9,86.9,24.4
"2023-06-09 21:27:36",32,78.8,26.2
"2023-06-09 22:27:36",34.3,76.2,27.7
"2023-06-09 23:27:36",35.1,75.4,28
"2023-06-10 00:27:36",32,81.4,27
"2023-06-10 01:27:36",30.2,87.4,27
"2023-06-10 02:27:36",30.2,89.9,27.7
"2023-06-10 03:27:36",30.9,94.2,29.5
"2023-06-10 04:27:36",29.7,93.5,28
"2023-06-10 05:27:36",27.3,98.1,26.8
"2023-06-10 06:27:36",26.6,99.3,26.4
"2023-06-10 07:27:36",25.9,99.9,25.9
"2023-06-10 08:27:36",25.3,100,25.3
"2023-06-10 09:27:36",23.9,99.9,23.9
"2023-06-10 10:27:36",22.8,99.5,22.6
"2023-06-10 11:27:36",21.4,98.9,21.2
"2023-06-10 12:27:36",20.5,98.9,20.3
"2023-06-10 13:27:36",19.9,98.6,19.6
"2023-06-10 14:27:36",19.4,98.5,19
"2023-06-10 15:27:36",18.9,98.3,18.5
"2023-06-10 16:27:36",18.1,97.8,17.6
"2023-06-10 17:27:36",18,97.5,17.4
"2023-06-10 18:27:36",18,97.5,17.4
"2023-06-10 19:27:36",19.8,97.7,19.2
"2023-06-10 20:27:36",24.6,94.8,23.4
"2023-06-10 21:27:36",26.8,84,22.6
"2023-06-10 22:27:36",27,83,22.5
"2023-06-10 23:27:36",28,78.1,22.1
"2023-06-11 00:27:36",28.6,79.1,23
"2023-06-11 01:27:36",25.2,83.5,20.8
"2023-06-11 02:27:36",25.7,84.3,21.6
"2023-06-11 03:27:36",28,78.2,22.1
"2023-06-11 04:27:36",25.2,77.5,19
"2023-06-11 05:27:36",23,83.8,18.9
"2023-06-11 06:27:36",20.1,88.2,17.2
"2023-06-11 07:27:36",18.7,91,16.5
"2023-06-11 08:27:36",15.1,93.6,13.6
